Country or Area,Category,Demographic,% of population
Mexico,Ethnicity,Mestizo (amerindian-spanish),0.62
Honduras,Ethnicity,Mestizo (mixed amerindian and european),0.9
Ecuador,Ethnicity,Mestizo (mixed amerindian and white),0.719
Nicaragua,Ethnicity,Mestizo (mixed amerindian and white),0.69
Panama,Ethnicity,Mestizo (mixed amerindian and white),0.65
Peru,Ethnicity,Mestizo (mixed amerindian and white),0.602
Guatemala,Ethnicity,Mestizo (mixed amerindian-spanish - in local spanish called ladino),0.56
Paraguay,Ethnicity,Mestizo (mixed spanish and amerindian ancestry),0.95
Bolivia (Plurinational State of),Ethnicity,Mestizo (mixed white and amerindian ancestry),0.68
Colombia,Ethnicity,Mestizo and white,0.876
French Polynesia,Ethnicity,Metropolitan french,0.04
Papua New Guinea,Ethnicity,Micronesian,
Solomon Islands,Ethnicity,Micronesian,0.012
Kenya,Ethnicity,Mijikenda,0.052
Indonesia,Ethnicity,Minangkabau,0.027
Anguilla,Ethnicity,Mixed,0.038
American Samoa,Ethnicity,Mixed,0.027
Antigua and Barbuda,Ethnicity,Mixed,0.047
Bahamas (the),Ethnicity,Mixed,0.021
Bermuda,Ethnicity,Mixed,0.09
Brazil,Ethnicity,Mixed,0.431
Barbados,Ethnicity,Mixed,0.031
Cayman Islands,Ethnicity,Mixed,0.4
Dominica,Ethnicity,Mixed,0.09
Falkland Islands (Malvinas),Ethnicity,Mixed,0.06
United Kingdom of Great Britain and Northern Ireland (the),Ethnicity,Mixed,0.02
Grenada,Ethnicity,Mixed,0.133
Guam,Ethnicity,Mixed,0.094
Guyana,Ethnicity,Mixed,0.199
Isle of Man,Ethnicity,Mixed,0.01
Jamaica,Ethnicity,Mixed,0.061
Saint Kitts and Nevis,Ethnicity,Mixed,0.03
Saint Lucia,Ethnicity,Mixed,0.109
"China, Macao Special Administrative Region",Ethnicity,Mixed,0.011
Montserrat,Ethnicity,Mixed,0.048
Puerto Rico,Ethnicity,Mixed,0.033
Suriname,Ethnicity,Mixed,0.134
Turks and Caicos Islands,Ethnicity,Mixed,0.025
Saint Vincent and the Grenadines,Ethnicity,Mixed,0.23
British Virgin Islands,Ethnicity,Mixed,0.053
United States Virgin Islands,Ethnicity,Mixed,0.021
Dominican Republic (the),Ethnicity,"Mixed (mestizo/indio, mulatto)",0.704
Trinidad and Tobago,Ethnicity,Mixed - african/east indian,0.077
Trinidad and Tobago,Ethnicity,Mixed - other,0.153
Haiti,Ethnicity,Mixed and white,0.05
United Republic of Tanzania (the),Ethnicity,Mixed arab and african,
Namibia,Ethnicity,Mixed european and african ancestry,0.065
Marshall Islands (the),Ethnicity,Mixed marshallese,0.059
Republic of Moldova (the),Ethnicity,Moldovan,0.751
Ukraine,Ethnicity,Moldovan,0.005
Ghana,Ethnicity,Mole-dagbani,0.185
Myanmar,Ethnicity,Mon,0.02
Monaco,Ethnicity,Monegasque,0.321
Viet Nam,Ethnicity,Mong,0.014
Montenegro,Ethnicity,Montenegrin,0.45
Ecuador,Ethnicity,Montubio,0.074
Czechia,Ethnicity,Moravian,0.034
Democratic Republic of the Congo (the),Ethnicity,More than 200 african ethnic groups of which the majority are bantu; the four largest tribes - mongo,
Belgium,Ethnicity,Moroccan,0.037
Spain,Ethnicity,Moroccan,0.017
Gibraltar,Ethnicity,Moroccan,0.016
Monaco,Ethnicity,Moroccan,0.01
Netherlands (the),Ethnicity,Moroccan,0.024
Burkina Faso,Ethnicity,Mossi,0.52
Pakistan,Ethnicity,Muhajirs,0.076
Costa Rica,Ethnicity,Mulatto,0.067
Ecuador,Ethnicity,Mulatto,0.019
Panama,Ethnicity,Mulatto,0.068
Cuba,Ethnicity,Mulatto or mixed,0.266
Chad,Ethnicity,Mundang,0.027
Viet Nam,Ethnicity,Muong,0.015
South Sudan,Ethnicity,Murle,
Montenegro,Ethnicity,Muslim,0.033
Nepal,Ethnicity,Muslim,0.044
Namibia,Ethnicity,Nama,0.05
Zambia,Ethnicity,Namwanga,0.028
Eritrea,Ethnicity,Nara,0.02
Panama,Ethnicity,"Native american (ngabe, kuna, embera, bugle, other, unspecified)",0.123
United States of America (the),Ethnicity,Native hawaiian and other pacific islander,0.002
Northern Mariana Islands,Ethnicity,"Native hawaiian or other pacific islander (includes chamorro, carolinian, and other native hawaiian or pacific islander)",0.349
Nauru,Ethnicity,Nauruan,0.889
South Sudan,Ethnicity,Ndogo,
Papua New Guinea,Ethnicity,Negrito,
Sint Maarten (Dutch part),Ethnicity,Netherlands,0.022
New Zealand,Ethnicity,New zealander,0.01
Nepal,Ethnicity,Newar,0.05
Bhutan,Ethnicity,Ngalop (also known as bhote),0.5
Central African Republic (the),Ethnicity,Ngbanki,0.055
Malawi,Ethnicity,Ngoni,0.104
Zambia,Ethnicity,Ngoni,0.04
New Caledonia,Ethnicity,Ni-vanuatu,0.01
Niue **,Ethnicity,Niuean,0.654
Malawi,Ethnicity,Nkhonde,0.01
Togo,Ethnicity,No response,0.004
Liberia,Ethnicity,Non-african .1%,0.01
Central African Republic (the),Ethnicity,Non-central african republic ethnic groups .1%,0.01
Malaysia,Ethnicity,Non-citizens,0.098
Gambia (the),Ethnicity,Non-gambian,0.099
"Côte d'Ivoire",Ethnicity,Non-ivoirian,0.242
Kenya,Ethnicity,Non-kenyan,0.01
Vanuatu,Ethnicity,Non-melanesian,0.008
Niue **,Ethnicity,Non-niuean,0.206
Qatar,Ethnicity,Non-qatari,0.884
Costa Rica,Ethnicity,None,0.029
Uruguay,Ethnicity,None or unspecified,0.05
France,Ethnicity,"North african (algerian, moroccan, tunisian)",
Canada,Ethnicity,North american indian,0.044
"Côte d'Ivoire",Ethnicity,Northern mande,0.145
Svalbard and Jan Mayen Islands,Ethnicity,Norwegian,0.611
Norway,Ethnicity,"Norwegian (includes about 60,000 sami)",0.815
Bosnia and Herzegovina,Ethnicity,Not declared/no answer,0.01
Zambia,Ethnicity,Nsenga,0.053
Sudan (the),Ethnicity,Nuba,
South Sudan,Ethnicity,Nuer (naath) approximately,0.15
Viet Nam,Ethnicity,Nung,0.011
Malawi,Ethnicity,Nyanja,0.018
Comoros (the),Ethnicity,Oimatsaha,
Ethiopia,Ethnicity,Oromo,0.358
Aruba,Ethnicity,Other,0.062
Angola,Ethnicity,Other,0.22
Anguilla,Ethnicity,Other,0.016
Andorra,Ethnicity,Other,0.098
United Arab Emirates (the),Ethnicity,Other,0.128
Armenia,Ethnicity,Other,0.007
American Samoa,Ethnicity,Other,0.012
Antigua and Barbuda,Ethnicity,Other,0.027
Austria,Ethnicity,Other,0.1
Azerbaijan,Ethnicity,Other,0.024
Belgium,Ethnicity,Other,0.106
Benin,Ethnicity,Other,0.009
Burkina Faso,Ethnicity,Other,0.072
Bahamas (the),Ethnicity,Other,0.019
Bosnia and Herzegovina,Ethnicity,Other,0.027
Belarus,Ethnicity,Other,0.024
Belize,Ethnicity,Other,0.012
Bermuda,Ethnicity,Other,0.04
Bolivia (Plurinational State of),Ethnicity,Other,0.01
Barbados,Ethnicity,Other,0.002
Brunei Darussalam,Ethnicity,Other,0.24
Botswana,Ethnicity,Other,
Canada,Ethnicity,Other,0.477
Switzerland,Ethnicity,Other,0.167
Cook Islands (the) **,Ethnicity,Other,0.119
Costa Rica,Ethnicity,Other,0.011
Curaçao,Ethnicity,Other,0.05
Czechia,Ethnicity,Other,0.077
Dominica,Ethnicity,Other,0.021
Dominican Republic (the),Ethnicity,Other,0.003
Ecuador,Ethnicity,Other,0.004
Egypt,Ethnicity,Other,0.003
Spain,Ethnicity,Other,0.123
Estonia,Ethnicity,Other,0.016
Ethiopia,Ethnicity,Other,0.135
Falkland Islands (Malvinas),Ethnicity,Other,0.085
Micronesia (Federated States of),Ethnicity,Other,0.008
United Kingdom of Great Britain and Northern Ireland (the),Ethnicity,Other,0.037
Guernsey,Ethnicity,Other,0.044
Ghana,Ethnicity,Other,0.016
Gibraltar,Ethnicity,Other,0.016
Gambia (the),Ethnicity,Other,0.04
Equatorial Guinea,Ethnicity,Other,0.014
Greece,Ethnicity,Other,0.04
Grenada,Ethnicity,Other,0.013
Guam,Ethnicity,Other,0.006
"China, Hong Kong Special Administrative Region",Ethnicity,Other,0.034
Hungary,Ethnicity,Other,0.026
Indonesia,Ethnicity,Other,0.15
Isle of Man,Ethnicity,Other,0.004
Ireland,Ethnicity,Other,0.015
Iceland,Ethnicity,Other,0.121
Israel,Ethnicity,Other,0.049
Jamaica,Ethnicity,Other,0.004
Jersey,Ethnicity,Other,0.106
Kazakhstan,Ethnicity,Other,0.044
Kenya,Ethnicity,Other,0.082
Cambodia,Ethnicity,Other,0.007
Kiribati,Ethnicity,Other,0.017
Saint Kitts and Nevis,Ethnicity,Other,0.006
"Lao People's Democratic Republic (the)",Ethnicity,Other,0.116
Lebanon,Ethnicity,Other,0.01
Saint Lucia,Ethnicity,Other,0.016
Liechtenstein,Ethnicity,Other,0.114
Sri Lanka,Ethnicity,Other,0.005
Lithuania,Ethnicity,Other,0.011
Luxembourg,Ethnicity,Other,0.14
Latvia,Ethnicity,Other,0.018
Saint Martin (French Part),Ethnicity,Other,
Morocco,Ethnicity,Other,0.01
Monaco,Ethnicity,Other,0.166
Republic of Moldova (the),Ethnicity,Other,0.008
Marshall Islands (the),Ethnicity,Other,0.02
North Macedonia,Ethnicity,Other,0.023
Mali,Ethnicity,Other,0.003
Myanmar,Ethnicity,Other,0.05
Montenegro,Ethnicity,Other,0.026
Mongolia,Ethnicity,Other,0.041
Northern Mariana Islands,Ethnicity,Other,0.025
Montserrat,Ethnicity,Other,0.018
Malawi,Ethnicity,Other,0.022
Malaysia,Ethnicity,Other,0.009
New Caledonia,Ethnicity,Other,0.177
Nigeria,Ethnicity,Other,0.249
Netherlands (the),Ethnicity,Other,0.093
Norway,Ethnicity,Other,0.096
Nepal,Ethnicity,Other,0.19
Nauru,Ethnicity,Other,0.025
New Zealand,Ethnicity,Other,0.137
Pakistan,Ethnicity,Other,0.063
Palau,Ethnicity,Other,0.021
Paraguay,Ethnicity,Other,0.05
Romania,Ethnicity,Other,0.007
Russian Federation (the),Ethnicity,Other,0.102
Singapore,Ethnicity,Other,0.032
Solomon Islands,Ethnicity,Other,0.003
Sierra Leone,Ethnicity,Other,0.05
El Salvador,Ethnicity,Other,0.006
Serbia,Ethnicity,Other,0.057
Suriname,Ethnicity,Other,0.076
Sweden,Ethnicity,Other,0.15
Sint Maarten (Dutch part),Ethnicity,Other,0.08
Turks and Caicos Islands,Ethnicity,Other,0.007
Thailand,Ethnicity,Other,0.011
Tokelau,Ethnicity,Other,0.056
Turkmenistan,Ethnicity,Other,0.06
Tonga,Ethnicity,Other,0.022
Trinidad and Tobago,Ethnicity,Other,0.013
Tuvalu,Ethnicity,Other,0.006
Uganda,Ethnicity,Other,0.321
Ukraine,Ethnicity,Other,0.018
Uruguay,Ethnicity,Other,0.003
United States of America (the),Ethnicity,Other,0.084
Uzbekistan,Ethnicity,Other,0.029
Saint Vincent and the Grenadines,Ethnicity,Other,0.002
British Virgin Islands,Ethnicity,Other,0.03
United States Virgin Islands,Ethnicity,Other,0.049
Viet Nam,Ethnicity,Other,0.055
Samoa,Ethnicity,Other,0.019
Zambia,Ethnicity,Other,0.138
Zimbabwe,Ethnicity,Other,0.004
United Republic of Tanzania (the),Ethnicity,"Other (consisting of asian, european, and arab); zanzibar - arab",0.01
Fiji,Ethnicity,"Other (european, part european, other pacific islanders, chinese)",0.045
Puerto Rico,Ethnicity,"Other (includes american indian, alaskan native, native hawaiian, other pacific islander, and others)",0.085
Jordan,Ethnicity,"Other (includes armenian, circassian)",0.026
Peru,Ethnicity,Other (includes chinese and japanese descent),0.012
Gabon,Ethnicity,"Other (includes congolese (kinshasa), equatorial guinean, nigerian)",0.055
Slovakia,Ethnicity,"Other (includes czech, ruthenian, ukrainian, russian, german, polish)",0.018
Libya,Ethnicity,"Other (includes egyptian, greek, indian, italian, maltese, pakistani, tunisian, and turkish)",0.03
Mozambique,Ethnicity,"Other (includes european, indian, pakistani, chinese)",0.002
Kuwait,Ethnicity,"Other (includes european, north american, south american, and australian)",0.009
Senegal,Ethnicity,Other (includes europeans and persons of lebanese descent),0.054
Faroe Islands,Ethnicity,"Other (includes filipino, poland, romanian)",0.045
Bahrain,Ethnicity,"Other (includes gulf co-operative country nationals, north and south americans, and oceanians)",0.012
Tajikistan,Ethnicity,"Other (includes kyrgyz, russian, turkmen, tatar, arab)",0.02
"China, Macao Special Administrative Region",Ethnicity,Other (includes macanese - mixed portuguese and asian ancestry),0.092
Cyprus,Ethnicity,"Other (includes maronite, armenian, turkish-cypriot)",0.01
Guyana,Ethnicity,"Other (includes portuguese, chinese, white)",0.005
Georgia,Ethnicity,"Other (includes russian, ossetian, yazidi, ukrainian, kist, greek)",0.023
Iraq,Ethnicity,"Other (includes turkmen, yezidi, shabak, kaka&#x27;i, bedouin, romani, assyrian, circassian, sabaean-mandaean, persian)",0.05
Kyrgyzstan,Ethnicity,"Other (includes uyghur, tajik, turk, kazakh, tatar, ukrainian, korean, german)",0.052
Japan,Ethnicity,"Other (includes vietnamese, filipino, and brazilian)",0.011
Croatia,Ethnicity,"Other (including bosniak, hungarian, slovene, czech, and romani)",0.044
Bulgaria,Ethnicity,"Other (including russian, armenian, and vlach)",0.007
Denmark,Ethnicity,"Other (largest groups are polish, syrian, romanian, german, and iraqi)",0.133
Mexico,Ethnicity,Other (mostly european),0.1
Djibouti,Ethnicity,"Other (mostly yemeni arab, also french, ethiopian, and italian)",0.05
Bulgaria,Ethnicity,Other (unknown),0.1
Liberia,Ethnicity,Other african,0.014
Congo (the),Ethnicity,Other and unspecified,0.01
Poland,Ethnicity,Other and unspecified,0.017
Bahrain,Ethnicity,Other arab,0.047
Kuwait,Ethnicity,Other arab,0.274
Guam,Ethnicity,Other asian,0.02
Gibraltar,Ethnicity,Other british,0.132
Central African Republic (the),Ethnicity,Other central african republic ethnic groups,0.02
Chad,Ethnicity,Other chadian ethnicities,0.034
Gibraltar,Ethnicity,Other eu,0.024
Guernsey,Ethnicity,Other europe,0.028
Norway,Ethnicity,Other european,0.089
Philippines (the),Ethnicity,Other foreign ethnicity,0.001
Bangladesh,Ethnicity,Other indigenous ethnic groups,0.011
Chile,Ethnicity,"Other indigenous groups (includes rapa nui, likan antai, quechua, colla, diaguita, kawesqar, yagan or yamana)",0.01
Liberia,Ethnicity,Other liberian,0.017
Philippines (the),Ethnicity,Other local ethnicity,0.261
Mali,Ethnicity,Other malian,0.06
Turkey,Ethnicity,Other minorities 6-11%,0.11
Faroe Islands,Ethnicity,Other nordic,0.014
Greenland,Ethnicity,Other nordic peoples,0.009
Slovenia,Ethnicity,Other or unspecified,0.12
Guam,Ethnicity,Other pacific islander,0.02
Tokelau,Ethnicity,Other pacific islander,0.034
Togo,Ethnicity,Other togolese,0.017
Ireland,Ethnicity,Other white,0.095
Syrian Arab Republic (the),Ethnicity,"Other ~15% (includes druze, ismaili, imami, nusairi, assyrian, turkoman, armenian)",0.15
Guinea,Ethnicity,Other/foreign,0.004
Germany,Ethnicity,Other/stateless/unspecified,0.089
Niger (the),Ethnicity,Other/unavailable,0.009
Kosovo (UNSCR 1244),Ethnicity,Other/unspecified,0.002
Benin,Ethnicity,Ottamari and related,0.061
Congo (the),Ethnicity,Oubanguiens,0.016
Namibia,Ethnicity,Ovambo,0.5
Angola,Ethnicity,Ovimbundu,0.37
American Samoa,Ethnicity,"Pacific islander (includes samoan, tongan, other .8%)",0.926
Guam,Ethnicity,Palauan,0.016
Palau,Ethnicity,Palauan (micronesian with malayan and melanesian admixtures),0.73
Jordan,Ethnicity,Palestinian,0.067
Guinea-Bissau,Ethnicity,Papel,0.07
Papua New Guinea,Ethnicity,Papuan,
Togo,Ethnicity,Para-gourma/akan,0.171
Cook Islands (the) **,Ethnicity,Part cook island maori,0.067
Nauru,Ethnicity,Part nauruan,0.066
Tokelau,Ethnicity,Part tokelauan/samoan,0.097
Tokelau,Ethnicity,Part tokelauan/tuvaluan,0.028
Niue **,Ethnicity,Part-niuean,0.14
Tonga,Ethnicity,Part-tongan,0.008
Pakistan,Ethnicity,Pashtun (pathan),0.154
Iran (Islamic Republic of),Ethnicity,Persian,
North Macedonia,Ethnicity,Persons for whom data were taken from administrative sources and no ethnic affiliation data was available,0.072
Aruba,Ethnicity,Peruvian,0.011
"Lao People's Democratic Republic (the)",Ethnicity,Phouthay,0.034
Norfolk Island,Ethnicity,Pitcairn islander,0.2
Micronesia (Federated States of),Ethnicity,Pohnpeian,0.298
Guam,Ethnicity,Pohnpeian,0.014
Belarus,Ethnicity,Polish,0.031
Germany,Ethnicity,Polish,0.01
Iceland,Ethnicity,Polish,0.056
Jersey,Ethnicity,Polish,0.03
Lithuania,Ethnicity,Polish,0.065
Latvia,Ethnicity,Polish,0.02
Poland,Ethnicity,Polish,0.969
Ukraine,Ethnicity,Polish,0.003
Micronesia (Federated States of),Ethnicity,Polynesian,0.016
Papua New Guinea,Ethnicity,Polynesian,
French Polynesia,Ethnicity,Polynesian,0.78
Solomon Islands,Ethnicity,Polynesian,0.031
Wallis and Futuna Islands,Ethnicity,Polynesian,
Guernsey,Ethnicity,Portugal,0.022
Andorra,Ethnicity,Portuguese,0.112
Saint Barthélemy,Ethnicity,Portuguese,
Switzerland,Ethnicity,Portuguese,0.025
Luxembourg,Ethnicity,Portuguese,0.145
"China, Macao Special Administrative Region",Ethnicity,Portuguese,0.011
Venezuela (Bolivarian Republic of),Ethnicity,Portuguese,
Jersey,Ethnicity,Portuguese/madeiran,0.094
Portugal,Ethnicity,"Portuguese; citizens from portugal's former colonies in africa",0.95
Mexico,Ethnicity,Predominantly amerindian,0.21
Yemen,Ethnicity,Predominantly arab; but also afro-arab,
Seychelles,Ethnicity,Predominantly creole (mainly of east african and malagasy heritage); also french,
Bolivia (Plurinational State of),Ethnicity,Predominantly quechua or aymara,
Eswatini,Ethnicity,Predominantly swazi; smaller populations of other african ethnic groups,
Senegal,Ethnicity,Pular,0.275
Pakistan,Ethnicity,Punjabi,0.447
Congo (the),Ethnicity,Punu,0.043
Congo (the),Ethnicity,Pygmy,0.016
Qatar,Ethnicity,Qatari,0.116
"Democratic People's Republic of Korea (the)",Ethnicity,Racially homogeneous; there is a small chinese community and a few ethnic japanese,
Nepal,Ethnicity,Rai,0.023
Myanmar,Ethnicity,Rakhine,0.04
Eritrea,Ethnicity,Rashaida,0.01
Bulgaria,Ethnicity,Romani,0.044
Finland,Ethnicity,Romani,
Hungary,Ethnicity,Romani,0.032
North Macedonia,Ethnicity,Romani,0.025
Montenegro,Ethnicity,Romani,0.01
Romania,Ethnicity,Romani,0.031
Serbia,Ethnicity,Romani,0.021
Slovakia,Ethnicity,Romani,0.012
Kosovo (UNSCR 1244),Ethnicity,Romani,0.005
Luxembourg,Ethnicity,Romania,0.01
Austria,Ethnicity,Romanian,0.013
Germany,Ethnicity,Romanian,0.01
Spain,Ethnicity,Romanian,0.012
Republic of Moldova (the),Ethnicity,Romanian,0.07
Romania,Ethnicity,Romanian,0.834
Ukraine,Ethnicity,Romanian,0.003
Fiji,Ethnicity,Rotuman,0.012
Aruba,Location,Rural,0.563030014038086
Afghanistan,Location,Rural,0.739740009307861
Angola,Location,Rural,0.331750030517578
Albania,Location,Rural,0.378880004882812
Andorra,Location,Rural,0.120839996337891
United Arab Emirates (the),Location,Rural,0.129520034790039
Argentina,Location,Rural,7.88899993896485e-02
Armenia,Location,Rural,0.366870002746582
American Samoa,Location,Rural,0.128470001220703
Antigua and Barbuda,Location,Rural,0.755669994354248
Australia,Location,Rural,0.137590026855469
Austria,Location,Rural,0.412519989013672
Azerbaijan,Location,Rural,0.436030006408691
Burundi,Location,Rural,0.862919998168945
Belgium,Location,Rural,1.92099761962891e-02
Benin,Location,Rural,0.515849990844726
Burkina Faso,Location,Rural,0.693929996490479
Bangladesh,Location,Rural,0.618230018615723
Bulgaria,Location,Rural,0.243140029907227
Bahrain,Location,Rural,0.104940032958984
Bahamas (the),Location,Rural,0.16754997253418
Bosnia and Herzegovina,Location,Rural,0.509799995422363
Belarus,Location,Rural,0.205169982910156
Belize,Location,Rural,0.539749984741211
Bermuda,Location,Rural,0
Bolivia (Plurinational State of),Location,Rural,0.298769989013672
Brazil,Location,Rural,0.12927001953125
Barbados,Location,Rural,0.688090000152588
Brunei Darussalam,Location,Rural,0.2175
Bhutan,Location,Rural,0.576839981079102
Botswana,Location,Rural,0.291230010986328
Central African Republic (the),Location,Rural,0.578019981384277
Canada,Location,Rural,0.184380035400391
Switzerland,Location,Rural,0.260849990844727
Chile,Location,Rural,0.122730026245117
China,Location,Rural,0.385719985961914
"CÃ´te d'Ivoire",Location,Rural,0.482939987182617
Cameroon,Location,Rural,0.42439998626709
Democratic Republic of the Congo (the),Location,Rural,0.543619995117188
Congo (the),Location,Rural,0.321709976196289
Colombia,Location,Rural,0.185749969482422
Comoros (the),Location,Rural,0.706200008392334
Cabo Verde,Location,Rural,0.333479995727539
Costa Rica,Location,Rural,0.192289962768555
Cuba,Location,Rural,0.228059997558594
CuraÃ§ao,Location,Rural,0.109380035400391
Cayman Islands,Location,Rural,0
Cyprus,Location,Rural,0.331790008544922
Czechia,Location,Rural,0.259390029907227
Germany,Location,Rural,0.225469970703125
Djibouti,Location,Rural,0.219380035400391
Dominica,Location,Rural,0.289100036621094
Denmark,Location,Rural,0.118840026855469
Dominican Republic (the),Location,Rural,0.174599990844727
Algeria,Location,Rural,0.262669982910156
Ecuador,Location,Rural,0.358339996337891
Egypt,Location,Rural,0.572169990539551
Eritrea,Location,Rural,0.642290000915527
Spain,Location,Rural,0.191900024414063
Estonia,Location,Rural,0.307710037231445
Ethiopia,Location,Rural,0.783050003051758
Finland,Location,Rural,0.144830017089844
Fiji,Location,Rural,0.427529983520508
France,Location,Rural,0.190250015258789
Faroe Islands,Location,Rural,0.576020011901855
Micronesia (Federated States of),Location,Rural,0.770669994354248
Gabon,Location,Rural,9.90799713134766e-02
United Kingdom of Great Britain and Northern Ireland (the),Location,Rural,0.160970001220703
Georgia,Location,Rural,0.405470008850098
Ghana,Location,Rural,0.426510009765625
Gibraltar,Location,Rural,0
Guinea,Location,Rural,0.63125
Gambia (the),Location,Rural,0.374179992675781
Guinea-Bissau,Location,Rural,0.558040008544922
Equatorial Guinea,Location,Rural,0.269000015258789
Greece,Location,Rural,0.202850036621094
Grenada,Location,Rural,0.634630012512207
Greenland,Location,Rural,0.127180023193359
Guatemala,Location,Rural,0.481640014648438
Guam,Location,Rural,5.06199645996094e-02
Guyana,Location,Rural,0.732140007019043
"China, Hong Kong Special Administrative Region",Location,Rural,0
Honduras,Location,Rural,0.41640998840332
Croatia,Location,Rural,0.424469985961914
Haiti,Location,Rural,0.429119987487793
Hungary,Location,Rural,0.280579986572266
Indonesia,Location,Rural,0.43359001159668
Isle of Man,Location,Rural,0.471020011901855
India,Location,Rural,0.650740013122559
Ireland,Location,Rural,0.363470001220703
Iran (Islamic Republic of),Location,Rural,0.241259994506836
Iraq,Location,Rural,0.291070022583008
Iceland,Location,Rural,6.10199737548828e-02
Israel,Location,Rural,7.41300201416015e-02
Italy,Location,Rural,0.289609985351562
Jamaica,Location,Rural,0.436889991760254
Jordan,Location,Rural,8.58200073242188e-02
Japan,Location,Rural,8.21800231933594e-02
Kazakhstan,Location,Rural,0.423289985656738
Kenya,Location,Rural,0.720049991607666
Kyrgyzstan,Location,Rural,0.631440010070801
Cambodia,Location,Rural,0.757679996490479
Kiribati,Location,Rural,0.444059982299805
Saint Kitts and Nevis,Location,Rural,0.691569995880127
Republic of Korea (the),Location,Rural,0.185859985351562
Kuwait,Location,Rural,0
"Lao People's Democratic Republic (the)",Location,Rural,0.637099990844727
Lebanon,Location,Rural,0.110749969482422
Liberia,Location,Rural,0.479109992980957
Libya,Location,Rural,0.193089981079102
Saint Lucia,Location,Rural,0.811590003967285
Liechtenstein,Location,Rural,0.855839996337891
Sri Lanka,Location,Rural,0.812870006561279
Lesotho,Location,Rural,0.709720001220703
Lithuania,Location,Rural,0.319540023803711
Luxembourg,Location,Rural,8.5469970703125e-02
Latvia,Location,Rural,0.316849975585938
"China, Macao Special Administrative Region",Location,Rural,0
Morocco,Location,Rural,0.364679985046387
Monaco,Location,Rural,0
Republic of Moldova (the),Location,Rural,0.571510009765625
Madagascar,Location,Rural,0.614659996032715
Maldives,Location,Rural,0.593310012817383
Mexico,Location,Rural,0.192689971923828
Marshall Islands (the),Location,Rural,0.222060012817383
North Macedonia,Location,Rural,0.415180015563965
Mali,Location,Rural,0.560909996032715
Malta,Location,Rural,5.25599670410156e-02
Myanmar,Location,Rural,0.688589992523193
Montenegro,Location,Rural,0.325120010375977
Mongolia,Location,Rural,0.313430023193359
Northern Mariana Islands,Location,Rural,8.20200347900391e-02
Mozambique,Location,Rural,0.629259986877441
Mauritania,Location,Rural,0.446730003356934
Mauritius,Location,Rural,0.592400016784668
Malawi,Location,Rural,0.825729999542236
Malaysia,Location,Rural,0.228399963378906
Namibia,Location,Rural,0.479669990539551
New Caledonia,Location,Rural,0.284820022583008
Niger (the),Location,Rural,0.833740005493164
Nigeria,Location,Rural,0.480419998168945
Nicaragua,Location,Rural,0.409879989624023
Netherlands (the),Location,Rural,7.76399993896484e-02
Norway,Location,Rural,0.170260009765625
Nepal,Location,Rural,0.79423999786377
Nauru,Location,Rural,0
New Zealand,Location,Rural,0.133010025024414
Oman,Location,Rural,0.137239990234375
Pakistan,Location,Rural,0.628349990844727
Panama,Location,Rural,0.315859985351562
Peru,Location,Rural,0.217030029296875
Philippines (the),Location,Rural,0.525919990539551
Palau,Location,Rural,0.190120010375977
Papua New Guinea,Location,Rural,0.866549997329712
Poland,Location,Rural,0.399570007324219
Puerto Rico,Location,Rural,6.41899871826171e-02
"Democratic People's Republic of Korea (the)",Location,Rural,0.376189994812012
Portugal,Location,Rural,0.336900024414063
Paraguay,Location,Rural,0.378170013427734
State of Palestine (the) *,Location,Rural,0.232809982299805
French Polynesia,Location,Rural,0.380250015258789
Qatar,Location,Rural,7.64999389648435e-03
Romania,Location,Rural,0.458059997558594
Russian Federation (the),Location,Rural,0.252460021972656
Rwanda,Location,Rural,0.82568000793457
Saudi Arabia,Location,Rural,0.157129974365234
Sudan (the),Location,Rural,0.647470016479492
Senegal,Location,Rural,0.518779983520508
Singapore,Location,Rural,0
Solomon Islands,Location,Rural,0.753299999237061
Sierra Leone,Location,Rural,0.570769996643066
El Salvador,Location,Rural,0.265559997558594
San Marino,Location,Rural,2.50099945068359e-02
Somalia,Location,Rural,0.53859001159668
Serbia,Location,Rural,0.435540008544922
South Sudan,Location,Rural,0.798010005950928
Sao Tome and Principe,Location,Rural,0.256460037231445
Suriname,Location,Rural,0.338509979248047
Slovakia,Location,Rural,0.462400016784668
Slovenia,Location,Rural,0.448819999694824
Sweden,Location,Rural,0.120230026245117
Eswatini,Location,Rural,0.758290004730225
Sint Maarten (Dutch part),Location,Rural,0
Seychelles,Location,Rural,0.424539985656738
Syrian Arab Republic (the),Location,Rural,0.445250015258789
Turks and Caicos Islands,Location,Rural,6.39499664306641e-02
Chad,Location,Rural,0.764799995422363
Togo,Location,Rural,0.572000007629395
Thailand,Location,Rural,0.485699996948242
Tajikistan,Location,Rural,0.724939994812012
Turkmenistan,Location,Rural,0.47484001159668
Timor-Leste,Location,Rural,0.686800003051758
Tonga,Location,Rural,0.769009990692139
Trinidad and Tobago,Location,Rural,0.467859992980957
Tunisia,Location,Rural,0.30431999206543
Turkey,Location,Rural,0.238949966430664
Tuvalu,Location,Rural,0.359860000610352
United Republic of Tanzania (the),Location,Rural,0.647729988098145
Uganda,Location,Rural,0.750459995269775
Ukraine,Location,Rural,0.303919982910156
Uruguay,Location,Rural,4.48500061035156e-02
